Total of paths: 1236
Noise: 765

Cluster 2 consists of the following 119 point :

 -2000,25000,-1970,24586,-1951,24460,-2150,24056,-2411,23566,-2496,23422,-2407,22977,-2253,22438,-2112,21904,-2066,21731,-2229,21327,-2279,21206,-1940,20906,-1494,20511,-1355,20385,-1308,20350,-1659,20517,-1768,20564,-1801,20580,-1533,20305,-1140,19912,-1001,19797,-960,19755,-946,19743,-1251,19451,-1347,19359,-1783,19228,-1915,19199,-2244,18880,-2658,18520,-3053,18068,-3474,17623,-3896,17181,-4027,17030,-4474,17012,-5031,17031,-5572,17084,-6149,17109,-6781,17175,-7356,17205,-7958,17255,-8541,17294,-8718,17298,-9166,17416,-9734,17635,-9896,17701,-9737,17887,-9688,17941,-9672,17958,-9329,18197,-8859,18484,-8707,18573,-8228,18519,-7686,18387,-7090,18274,-6520,18202,-6339,18187,-6282,18182,-6048,17828,-5737,17342,-5651,17194,-5624,17146,-5374,16753,-5034,16243,-4671,15751,-4296,15252,-3948,14721,-3581,14174,-3214,13649,-2842,13114,-2424,12591,-2066,12060,-1701,11548,-1334,11075,-919,10564,-595,10069,-483,9915,-291,9502,-98,8977,104,8414,349,7876,578,7367,826,6784,903,6602,1194,6232,1293,6122,1328,6086,1634,5791,1991,5414,2115,5285,2490,5481,2938,5778,3066,5862,3108,5886,3122,5893,3406,6199,3765,6611,4152,7033,4521,7484,4893,7953,5008,8115,5039,8169,5048,8186,5051,8191,5052,8193,5053,8193,5053,8193,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194,5053,8194 ;
 432,-8742,432,-8742,795,-8882,1334,-9055,1975,-9241,2250,-9319,2359,-9355,2407,-9366,2429,-9371,2438,-9373,2442,-9375,2444,-9376,2444,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2445,-9376,2199,-9657,2105,-9770,2065,-9813,2050,-9829,2044,-9836,2041,-9839,2040,-9841,1886,-9506,1831,-9376,1809,-9325,1568,-8795,1277,-8034,1005,-7423,867,-7169,774,-6667,745,-6461,733,-6379,729,-6342,728,-6327,727,-6320,727,-6317,727,-6316,727,-6316,727,-6315,1093,-5917,1264,-5741,1487,-5134,1679,-4316,1836,-3605,1902,-3304,1939,-2783,2006,-2167 ;
 -1237,7943,-1237,7943,-710,7891,56,7790,817,7652,1194,7586,1375,7554,1458,7533,1496,7523,1512,7519,1519,7516,1523,7515,1524,7515,1525,7515,1525,7515,1676,7171,1741,7007,1867,6640,1926,6471,1950,6393,1970,6041,1969,5890,1969,5819,1969,5787,1969,5774,1970,5767,1970,5765,1970,5763,1970,5763,1970,5762,1970,5762,1970,5762,1956,6124,1961,6291,2021,6641,2039,6804,1833,7172,1733,7324,1702,7765,1708,8464,1756,9040,1768,9296,1763,9415,1761,9468,1761,9493,1759,9504,1758,9509,1758,9511,1758,9513,1758,9513,1758,9513,1758,9513,1619,9841,1457,10349,1389,10598,1402,11192,1459,11846,1517,12599,1595,13370,1685,14060,1724,14738 ;
 -630,22030,-630,22030,-630,22030,-630,22030,-630,22030,-630,22030,-630,22030,-889,21606,-1001,21413,-1098,20814,-1181,20054,-1255,19206,-1382,18335,-1551,17434,-1749,16511,-1875,15596,-1985,14672,-2108,13686,-2166,13249,-2197,13047,-2210,12957,-2214,12915,-2089,12371,-1957,11607,-1792,10771,-1656,9939,-1577,9582,-1537,9419,-1332,8848,-1229,8582,-1173,8452,-1146,8391,-1133,8365,-1128,8353,-1125,8348,-1124,8345,-1124,8344,-1123,8344,-1123,8344,-1008,7869,-960,7657,-941,7566,-930,7524,-925,7506,-767,7176,-537,6678,-427,6458,-371,6360,-348,6316,-117,5973,-8,5831,39,5763,61,5729,114,6061,165,6581,221,7191,269,7462,283,7582,288,7634,271,8028,259,8208,250,8285,247,8321 ;
 -13798,16618,-14015,16435,-14111,16343,-14384,16555,-14866,17013,-15217,17109,-15666,17523,-15985,17615,-16377,17931,-16494,18018,-16544,18053,-16568,18070,-16579,18077,-16584,18081,-16904,18245,-17260,18438,-17750,18707,-18322,19008,-18590,19146,-18710,19208,-18765,19239,-18790,19254,-18802,19260,-19178,19267,-19738,19250,-20387,19221,-20681,19204,-20820,19202,-20878,19202,-20905,19203,-20917,19204,-20922,19204,-20925,19204,-20740,18899,-20470,18452,-20105,17932,-19941,17714,-19860,17612,-19828,17563,-19648,17081,-19384,16375,-19239,16058,-19014,15443,-18907,15162,-18435,14774,-17816,14320,-17135,13882,-16403,13426,-15626,12966,-14882,12540,-14180,12083,-13401,11579,-13014,11371,-12832,11277,-12749,11225,-12711,11199,-12654,10678,-12587,9891,-12536,9529,-12513,9353,-12510,9269,-12506,9227,-12166,9056,-11650,8799,-11068,8522,-10455,8245,-9849,8002,-9141,7691,-8386,7402,-7593,7068,-6780,6727,-5943,6425,-5565,6278,-5402,6208,-5327,6176,-5290,6159,-5272,6152,-5264,6148,-4766,6174,-4552,6179,-4454,6181,-4407,6183,-4387,6184,-3893,6331,-3669,6390,-3569,6421,-3526,6433,-3506,6439,-3496,6442,-3491,6444,-3489,6444,-3041,6546,-2846,6589,-2456,6801,-1963,7087,-1724,7233,-1389,7584,-1245,7763,-860,8101,-289,8542,-29,8750,85,8835,477,9227,654,9387,737,9451,1214,9732,1419,9854,1584,9533,1679,9032,1736,8791,1756,8689,1765,8646,1769,8626,1772,8617,1773,8612,1773,8610,1773,8610 ;
 -1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1300,-10357,-1123,-10879,-898,-11631,-569,-12518,-420,-12887,-80,-13507,314,-14211,478,-14510,557,-14636,588,-14687 ;
 -542,4791,-542,4791,-26,4736,579,4665,1280,4563,1600,4520,1742,4515,1808,4518,1838,4520,1852,4520,1858,4520,1860,4520,1862,4520,1862,4520,1862,4520,1863,4520,1863,4520,1863,4520,1788,4073,1628,3445,1536,3135,1544,2644,1595,2092 ;
 -8509,-8080,-8509,-8080,-8509,-8080,-8748,-8357,-8879,-8498,-8942,-8571,-8971,-8608,-8628,-8746,-8452,-8823,-8366,-8862,-8717,-8972,-9248,-9116,-9941,-9288,-10735,-9532,-11108,-9657,-11672,-9665,-12360,-9649,-13063,-9590,-13408,-9556,-13575,-9539,-13659,-9536,-13701,-9538,-13722,-9539,-13379,-9579,-13226,-9596,-13155,-9599,-13120,-9604,-13103,-9607,-13006,-9843,-12957,-9956,-12483,-9802,-12595,-9877,-12648,-9910,-13038,-9919,-13226,-9908,-13317,-9900,-13363,-9894,-13387,-9891,-13398,-9889,-13404,-9887,-13121,-9652,-12690,-9306,-12168,-8929,-11895,-8750,-11327,-8786,-10570,-8929,-10204,-9030,-10023,-9077,-9930,-9105,-9521,-9183,-9330,-9221,-9237,-9239,-9191,-9245,-9385,-9518,-9744,-9947,-10152,-10448,-10621,-11004,-11044,-11519,-11255,-11781,-11357,-11906,-11407,-11967,-11432,-11995,-11445,-12009,-11451,-12016,-11405,-11651,-11372,-11061,-11355,-10784,-11244,-10423,-11177,-10252,-10772,-9832,-10580,-9627,-10487,-9529,-10303,-8998,-10061,-8217,-9940,-7837,-9875,-7659,-9846,-7571,-9832,-7526,-10054,-7554,-10423,-7605,-10608,-7623,-10692,-7627,-10841,-7999,-10908,-8182,-10943,-8266,-11227,-8583,-11362,-8739,-11430,-8817,-11463,-8858,-11481,-8878,-11490,-8888,-11494,-8893,-11496,-8896,-11497,-8897,-11127,-8892,-10575,-8877,-9923,-8887,-9612,-8896,-9467,-8898,-9392,-8899,-9357,-8897,-9339,-8895,-9330,-8895,-9325,-8895,-9323,-8895,-9323,-8895,-9164,-8438,-8915,-7700,-8692,-6861,-8434,-5987,-8305,-5563,-8011,-5022,-7589,-4359,-7385,-4037,-7284,-3881,-7004,-4059,-6564,-4427,-6045,-4887,-5783,-5130,-5651,-5258,-5360,-5653,-5215,-5856,-5133,-5955,-5094,-6004,-4890,-5601,-4784,-5398,-4726,-5307,-4699,-5262,-4578,-4786,-4531,-4570,-4512,-4461,-4507,-4408,-4019,-4332,-3785,-4280,-3565,-3776,-3380,-3013,-3283,-2655,-3239,-2475,-2945,-2654,-2540,-2990,-2124,-3403,-1668,-3863,-1452,-4116,-831,-4219,-80,-4164,761,-4129,1615,-4092,2032,-4074,1918,-4474,1864,-4666 ;
 -11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11100,8840,-11541,8833,-11870,8609,-12345,8521,-12500,8496,-12551,8488,-12218,8749,-12100,8835,-11780,9452,-11446,10255,-11327,10532,-11284,10629,-11271,10661,-11267,10672,-11266,10675,-11265,10677,-11265,10677,-11265,10677,-11265,10677,-11265,10677,-11265,10677,-10711,10459,-9962,10171,-9716,10077,-9632,10052,-9025,9780,-8835,9685,-8769,9658,-8748,9650,-8741,9647,-8738,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-8737,9646,-9098,9412,-9443,9158,-9559,9076,-9597,9050,-9439,9456,-9270,9988,-9210,10163,-9188,10219,-9014,10613,-8958,10739,-8940,10781,-8934,10794,-9294,11022,-9720,11318,-10251,11612,-10747,11897,-10896,11987,-10946,12020,-10962,12031,-10642,11737,-10538,11640,-10174,11353,-10054,11254,-10017,11219,-10005,11206,-10002,11203,-10000,11202,-10000,11202,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-10000,11201,-9508,10846,-9346,10721,-9294,10676,-8936,10403,-8826,10317,-8228,10097,-8018,10039,-7944,10021,-7492,10464,-7074,10915,-6638,11412,-6489,11577,-5824,11709,-5012,11944,-4335,12078,-3687,12228,-3479,12274,-3326,11849,-3272,11718,-3256,11673,-2934,11697,-2693,11616,-2461,11476,-2380,11433,-1752,11610,-1547,11658,-1482,11674,-1461,11680,-1454,11681,-1452,11682,-1451,11682,-1451,11682,-1451,11682,-1290,12290,-1074,13082,-827,13845,-613,14689,-308,14889,-206,14946,-172,14964,-161,14971,-158,14973,131,15296,516,15752 ;
 -10887,-5672,-11140,-5697,-11323,-5622,-11407,-5587,-11448,-5568,-11142,-5681,-10636,-5862,-10388,-5958,-10648,-6018,-10771,-6038,-10830,-6048,-10858,-6051,-10872,-6053,-10879,-6053,-10882,-6054,-10515,-6010,-10328,-5988,-9831,-6217,-9590,-6304,-9471,-6346,-9050,-6471,-8840,-6544,-8731,-6582,-8683,-6601,-8267,-6312,-8072,-6154,-7502,-5923,-7241,-5806,-7114,-5762,-7053,-5743,-7022,-5734,-7005,-5730,-6997,-5729,-6992,-5728,-6990,-5727,-6989,-5727,-6989,-5727,-6989,-5727,-6988,-5727,-6988,-5727,-6988,-5727,-6988,-5727,-6770,-5282,-6447,-4556,-6260,-4200,-6162,-4024,-5726,-4209,-5119,-4591,-4479,-5015,-3770,-5587,-3054,-6187,-2342,-6726,-2012,-6979,-1858,-7102,-1783,-7168,-1742,-7199,-1722,-7214,-1713,-7221,-1708,-7225,-1706,-7226,-1706,-7227,-1705,-7227,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1705,-7228,-1516,-7680,-1292,-8337,-1184,-8683,-1142,-8853,-1122,-8942,-1113,-8984,-1110,-9005,-1108,-9016,-1108,-9022,-1107,-9025,-1107,-9026,-1107,-9027,-998,-9355,-947,-9517,-918,-9601,-688,-9775,-351,-10004,51,-10243,503,-10474,711,-10577,815,-10629,866,-10654,890,-10666,902,-10671,907,-10673,910,-10674,911,-10675,912,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,913,-10675,819,-11158,773,-11392,759,-11509,752,-11569,746,-11599,743,-11612,1017,-11189,1370,-10593,1866,-9948,2317,-9306,2707,-8653,2912,-8324,3017,-8160,3213,-7744,3484,-7195,3809,-6570,3964,-6287,4036,-6150,4077,-6088,4096,-6057,4105,-6044,4109,-6037,4111,-6034 ;
 -11803,19415,-11861,19367,-11880,19352,-11886,19347,-11532,19051,-11087,18642,-10593,18184,-10416,18018,-10359,17970,-10340,17953,-10334,17948,-9990,17722,-9551,17418,-9407,17310,-9359,17274,-9344,17264,-9339,17260,-9337,17260,-8826,16919,-8129,16457,-7405,15962,-7147,15812,-7061,15762,-7036,15745,-6411,15957,-6220,16030,-6154,16055,-6132,16061,-6125,16064,-6123,16064,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-6122,16065,-5931,15481,-5642,14655,-5410,13767,-5139,12885,-4835,11968,-4538,11102,-4336,10223,-4111,9365,-4036,9086,-4003,8995,-3992,8965,-3987,8954,-3986,8951,-3985,8950,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3985,8949,-3421,8603,-2732,8226,-2519,8097,-2447,8051,-2423,8038,-2415,8033,-2412,8032,-2411,8031,-2411,8031,-2411,8031,-2411,8031,-2039,8223,-1931,8284,-1894,8302,-1883,8308,-1879,8309,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1877,8310,-1776,8700,-1656,9272,-1477,9839,-1309,10478,-1250,10704,-1226,10781,-1217,10805,-1214,10813,-1213,10816,-1213,10816,-1213,10817,-1213,10817,-1213,10817,-1213,10817,-1213,10817,-966,11328,-638,12023,-246,12796,-101,13054,-55,13132,-40,13156,-36,13164,-35,13167,-35,13167,-35,13168,-35,13168,255,13461 ;
 -825,-10671,-825,-10671,-825,-10671,-825,-10671,-825,-10671,-421,-10688,195,-10652,494,-10636,640,-10629,707,-10620,740,-10616,755,-10612,762,-10610,766,-10609,768,-10609,768,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,769,-10609,957,-10109,1208,-9344,1360,-8979,1451,-8803,1491,-8716,1511,-8673,1416,-8187,1373,-7950,1358,-7841,1352,-7787,1532,-7455,1616,-7292,1712,-6737,1748,-5974,1795,-5065,1799,-4639,1802,-4432,1795,-4336,1794,-4289,1793,-4266,1793,-4255,1793,-4250,1793,-4248,2065,-4541,2193,-4691,2161,-5169,2139,-5404,2119,-5515,2111,-5573,1977,-5947,1722,-6493,1469,-7126,1340,-7431,1284,-7575,1260,-7651,1247,-7687,1240,-7706,1237,-7715,1235,-7720,1235,-7723,1234,-7724,1234,-7724,1234,-7725,1234,-7725,1478,-7320,1811,-6650 ;
 -387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-387,7222,-466,7658,-589,8234,-637,8412,-655,8475,-661,8496,-662,8503,-663,8506,-233,8946,336,9541,966,10175,1491,10695,1673,10849,1728,10905,1746,10923,1751,10929,1753,10930,1754,10931,1796,11574,1851,12244,1901,12898,1975,13570,2041,14178,2043,14841,2043,15061,2044,15133,2045,15155,2045,15163,2045,15165,2045,15166,2045,15166,2045,15166,2045,15166,2045,15166,1923,14753,1731,14213,1568,13654,1521,13462,1430,13000,1272,12445,1220,12274,1201,12215,1194,12197,1192,12192,1191,12190,1191,12189,1191,12189,1191,12189,1191,12189,1191,12189,1191,12189,1191,12189,1191,12189,1191,12189,1191,12189 ;
 -631,-1477,-631,-1477,-181,-1481,413,-1488,701,-1487,1016,-1579,1323,-1299,1477,-1155,2021,-1091,2704,-1033,3068,-1001,3255,-998,3348,-994,3129,-728 ;
 330,11228,330,11228,753,11214,1481,11177,1709,11167,1779,11161,1803,11159,1810,11159,1813,11159,1666,11579,1397,12274,1112,13093,906,13783,724,14407 ;
 -14237,-12781,-13911,-12370,-13770,-12177,-13502,-11631,-13209,-10896,-12990,-10174,-12784,-9639,-12525,-8912,-12199,-8140,-11955,-7300,-11656,-6452,-11378,-5601,-11234,-5182,-11163,-4979,-10774,-5011,-10590,-5030,-10496,-5035,-10450,-5037,-10427,-5039,-10417,-5041,-10412,-5042,-10410,-5042,-10408,-5043,-10043,-5163,-9864,-5229,-9778,-5261,-9739,-5277,-9722,-5285,-9713,-5288,-9815,-5648,-9863,-5821,-10002,-6252,-10205,-6848,-10443,-7494,-10531,-7808,-10565,-7954,-10582,-8029,-10590,-8066,-10595,-8083,-10901,-8320,-11325,-8611,-11516,-8771,-11817,-9127,-12133,-9616,-12287,-9842,-12357,-9956,-12394,-10012,-12355,-9653,-12301,-9061,-12273,-8774,-12253,-8639,-12486,-8537,-12973,-8440,-13580,-8357,-14264,-8292,-14983,-8262,-15357,-8231,-15719,-8063,-15897,-7985,-15980,-7946,-16019,-7926,-16040,-7915,-15964,-8297,-15934,-8469,-15801,-8905,-15740,-9132,-15705,-9238,-15241,-9099,-14666,-8906,-14027,-8699,-13383,-8440,-12630,-8089,-12285,-7930,-11905,-7572,-11728,-7421,-11287,-7175,-10738,-6871,-10137,-6577,-9513,-6264,-8845,-5935,-8214,-5613,-7560,-5269,-7224,-5119,-7069,-5052,-6643,-4849,-6114,-4531,-5835,-4363,-5705,-4277,-5285,-4379,-4765,-4620,-4515,-4725,-4001,-4692,-3397,-4628,-2726,-4532,-2048,-4392,-1349,-4247,-1026,-4179,-868,-4146,-792,-4131,-827,-3990,-909,-3775,-883,-3428,-872,-3259,-862,-3180,-859,-3139,-856,-3118,-854,-3108,-853,-3103,-853,-3101,-830,-3601,-791,-4333,-802,-5144,-796,-5513,-805,-5685,-809,-5765,-812,-5806,-813,-5825,-813,-5834,-813,-5838,-813,-5840,-813,-5841,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-813,-5842,-663,-6333,-415,-6991,-297,-7307,-238,-7460,12,-7861,358,-8355,528,-8594,612,-8712,927,-8409,1312,-7967,1725,-7483,1898,-7235,1996,-6743,2014,-5986,2026,-5195,2018,-4833,2023,-4661,2024,-4581 ;
 3239,1987,3163,2036,3127,2060,3109,2070,2760,2246,2591,2346,2517,2392,2784,2185,3223,1869,3697,1534,4217,1205,4461,1024,4576,939,4689,1250,4752,1396,4586,1768,4313,2271,3991,2814,3833,3082,3755,3222,3714,3289,3696,3323,3687,3338,3682,3346,4053,3234,4563,3051,5164,2802,5834,2517,6485,2283,7148,2024,7473,1930,7630,1885,7701,1863,7733,1853,7747,1848,7754,1846,7758,1845,7760,1844,7761,1844,7761,1844,7761,1844,7366,1520,6767,1054,6105,567,5764,314 ;
 1727,15397,1640,15112,1611,15019,1603,14988,1599,14978,1598,14975,1785,15371,2011,15876,2086,16041,2109,16094,2117,16111,2119,16117,2389,16399,2477,16492,2735,16853,2810,16978,2740,17445,2644,18069,2519,18750,2483,18967,2092,18824,1970,18790,1929,18776,1916,18771,1823,18356,1798,18222,1790,18179,1788,18165,1787,18161,1787,18159,1786,18159,1786,18158,1786,18158,1786,18158,1786,18158,1786,18158,1387,18616,1550,18445,1604,18392,1622,18373,1627,18367,1629,18365,1669,17939,1685,17386,1744,16824 ;
 -3070,-11130,-3070,-11130,-2534,-11069,-1739,-10941,-784,-10784,-326,-10739,304,-10348,593,-10145,735,-10049,809,-9999,845,-9975,817,-9566,792,-9368,772,-9275,765,-9231,761,-9210,759,-9200,757,-9195,756,-9193,756,-9191,756,-9191,756,-9191,756,-9190,755,-9190,755,-9190,755,-9190,755,-9190,755,-9190,755,-9190,755,-9190,755,-9190,823,-8843,884,-8300,1023,-7526,1194,-6645,1417,-5683,1563,-5227,1945,-4791,2128,-4598 ;
 -2467,5137,-2467,5137,-2406,5536,-2386,5692,-2374,5752,-2369,5773,-2184,6132,-1883,6670,-1609,7275,-1500,7500,-1455,7590,-1437,7623,-1430,7636,-1427,7641,-1427,7643,-1426,7644,-1426,7644,-1426,7644,-1426,7644,-1426,7644,-1426,7644,-1426,7644,-1426,7644,-1136,7585,-1024,7562,-978,7554,-961,7551,-955,7550,-952,7550,-951,7550,-951,7550,-951,7550,-951,7550,-638,7867,-181,8233,337,8590,926,9078,1170,9274,1434,9862 ;
 -17876,-220,-18597,29,-18917,133,-19049,185,-19103,211,-19052,147,-18936,40,-18815,-83,-18681,-218,-18548,-363,-18415,-514,-18290,-671,-18140,-810,-17980,-941,-17829,-1077,-17683,-1196,-17538,-1325,-17125,-1714,-16628,-2215,-16068,-2773,-15508,-3386,-14928,-4003,-14359,-4584,-13771,-5180,-13132,-5762,-12836,-6009,-12696,-6113,-12564,-6250,-12427,-6394,-12281,-6551,-12144,-6689,-12025,-6832,-11900,-6979,-11774,-7138,-11651,-7285,-11521,-7421,-11390,-7563,-11251,-7707,-11058,-7786,-11002,-7847,-10933,-7934,-10830,-8049,-10700,-8181,-10568,-8314,-10438,-8449,-10315,-8591,-10188,-8756,-10064,-8919,-9931,-9080,-9799,-9218,-9671,-9381,-9532,-9533,-9408,-9688,-9278,-9843,-9151,-9999,-9013,-10138,-8880,-10272,-8745,-10415,-8681,-10476,-8539,-10522,-8361,-10575,-8163,-10607,-7957,-10654,-7746,-10690,-7529,-10717,-7320,-10748,-7115,-10781,-7029,-10790,-6990,-10798,-6862,-10798,-6805,-10793,-6780,-10790,-6768,-10788,-6763,-10787,-6667,-10323,-6554,-9638,-6438,-8886,-6303,-8104 ;
 2483,-4331,2831,-4164,2999,-4088,3076,-4047,2893,-3751,2572,-3320,2180,-2818,1752,-2291,1565,-2048,1088,-1981,459,-1973,-218,-2030,-543,-2048,-703,-2055,-783,-2063,-822,-2067,-897,-2448,-934,-2635,-456,-2845,320,-3022,699,-3138,1408,-3030,2123,-2903,2862,-2730,3610,-2589,4294,-2406,5005,-2183,5744,-2020,6090,-1957,6254,-1921,6332,-1902,6370,-1894,6389,-1891,6398,-1891,6403,-1890,6061,-1777,5527,-1606 ;
 -2234,8933,-2762,9004,-3234,9051,-3419,9084,-3492,9096,-3520,9100,-3531,9103,-3452,9523,-3425,10115,-3413,10340,-3494,10941,-3532,11160,-3547,11242,-3194,11680,-2674,12197,-2066,12833,-1544,13416,-1343,13638,-1270,13730,-896,14013,-739,14132,-679,14177,-655,14196,-246,14455,233,14760,398,14888,459,14937,483,14956,492,14964,496,14968,497,14969,498,14970,498,14970,498,14970,498,14970,498,14970,794,15454 ;
 -22282,12901,-23143,12611,-23473,12473,-24060,12128,-24283,11992,-24375,11941,-24900,11685,-25102,11589,-25454,11126,-25604,10939,-26081,10852,-26267,10818,-26869,10940,-27111,10990,-27200,11013,-27232,11024,-27245,11029,-27250,11030,-27252,11031,-27253,11031,-27253,11031,-27253,11032,-26827,10770,-26300,10418,-25736,10045,-25149,9639,-24521,9238,-23905,8834,-23261,8476,-22607,8056,-21969,7697,-21364,7310,-20746,6936,-20097,6533,-19501,6169,-18890,5777,-18233,5420,-17595,5022,-17116,4714,-16680,4451,-16153,4109,-15583,3748,-15100,3469,-14903,3379,-14834,3344,-14252,3410,-13498,3480,-12725,3549,-11880,3594,-11026,3681,-10143,3767,-9271,3820,-8371,3905,-7485,3909,-6547,3889,-5650,3940,-4732,3944,-4380,3947,-4258,3951,-4207,3952,-4187,3953,-4180,3953,-4178,3953,-4176,3953,-4176,3953,-4176,3953,-4176,3953,-4176,3953,-4176,3953,-3680,4129,-3487,4208,-3412,4245,-3384,4260,-3373,4265,-3368,4267,-3367,4268,-3366,4268,-3366,4268,-3923,4292,-4681,4320,-4979,4316,-5611,4461,-5831,4509,-6286,4916,-6832,5460,-7433,6070,-8008,6641,-8576,7297,-8791,7548,-9059,8043,-9402,8630,-9696,9238,-9994,9862,-10131,10114,-9736,10497,-9082,10905,-8386,11345,-8103,11511,-7997,11575,-7399,11660,-7185,11691,-6996,11133,-6818,10403,-6624,9632,-6544,9333,-6282,8731,-6195,8484,-5644,8493,-4899,8573,-4589,8602,-4470,8624,-4424,8632,-4406,8635,-4896,8733,-5076,8754,-5151,8767,-4870,9058,-4384,9529,-3807,9995,-3185,10557,-2506,11197 ;
 1759,-13872,1759,-13872,1759,-13872,1759,-13872,1606,-13499,1544,-13331,1515,-13253,1503,-13218,1496,-13201,1383,-12691,1190,-11911,1057,-11141,1012,-10791,1205,-10274,1486,-9695,1602,-9407,1639,-8750,1638,-8044,1659,-7194,1611,-6268,1522,-5266,1405,-4313,1308,-3425,1276,-2992,1637,-2435,2039,-1928,2213,-1671,2686,-1480,3279,-1299,3577,-1193,3727,-1152,3551,-1429 ;
 -674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-674,7989,-519,8487,-274,9142,12,9823,261,10495,512,11114,763,11704,1057,12435,1307,13214,1430,13584,1467,13747,1410,14192,1281,14791,1212,15425,1120,16155 ;
 899,-2115,899,-2115,1278,-2194,1856,-2273,2518,-2367,2802,-2414,2927,-2431,2986,-2439,3013,-2443,3025,-2446,3031,-2447,3034,-2447,3035,-2448,3035,-2448,3036,-2448,3036,-2448,2522,-2453,2273,-2453,2302,-2501,2314,-2523,2319,-2533,2321,-2538,2666,-2750,2843,-2851,2926,-2901,2800,-2535,2598,-1994 ;
 581,14681,581,14681,960,14705,1490,14766,1724,14791,1895,15172,2109,15714,2225,15962,2271,16075,2294,16128,2305,16151,1919,16193,1310,16221,1033,16227,907,16242,848,16253,821,16256,808,16257,803,16257,801,16257,800,16257,799,16257,799,16257,799,16257,799,16257,887,16640,941,16814 ;
